INCIDENT NUMBER,CHARGE ID,CHARGE DATE,REPORT DATE,APPROVED DATE,ATTEMPTED OR COMMITTED,STREET ADDRESS,SUBADDRESS,CITY,STATE,ZIP CODE,DISTRICT,ZONE,SUBZONE,STATUTE TITLE,STATUTE DESCRIPTION,STATUTE CATEGORY,CRIME AGAINST,NIBRS CODE,NIBRS DESCRIPTION,CENSUS BLOCK GROUP,COUNCIL DISTRICT,CRIME PREVENTION DISTRICT,NEIGHBORHOOD,LONGITUDE,LATITUDE,GEOLOCATION
21-061898,4CF5BFE5-50FE-4488-B0AF-D2D45A20678D,06/25/2021 11:58:05 PM,06/26/2021 01:12:35 AM,06/26/2021 05:02:17 PM,COMMITTED,,,BATON ROUGE,LA,70806,1,1A,1A1,14:43.1/N,SEXUAL BATTERY - RUBBING/TOUCHING,SEXUAL ASSAULT,PERSON,11D,FORCIBLE FONDLING,,10,,DOWNTOWN EAST,,,
21-089867,94CC3375-3F59-40F4-997F-04F711280815,09/06/2021 08:59:52 AM,09/13/2021 10:12:38 AM,05/19/2023 07:21:50 AM,COMMITTED,1253 FLORIDA ST,,BATON ROUGE,LA,70802,1,1A,1A2,13:37,AGGRAVATED ASSAULT,ASSAULT,PERSON,13A,AGGRAVATED ASSAULT,,10,,DOWNTOWN EAST,-91.17633,30.44980,POINT (-91.176332 30.4498)
21-114818A,8B116360-EDE6-44B9-B7ED-FAE3A8964295,11/09/2021 11:51:00 AM,11/09/2021 11:51:00 AM,08/26/2022 06:42:23 AM,COMMITTED,300 N 10TH ST,,BATON ROUGE,LA,70802,1,1A,1A2,14:34,AGGRAVATED BATTERY,BATTERY,PERSON,13A,AGGRAVATED ASSAULT,,10,,DOWNTOWN EAST,-91.17945,30.44997,POINT (-91.179447 30.44997)
21-053447,867B08B5-EEA5-45E9-9749-16B922C7304D,06/03/2021 06:55:09 AM,06/11/2021 01:09:17 PM,06/18/2021 12:06:11 PM,COMMITTED,335 S 20TH ST,,BATON ROUGE,LA,70806,1,1A,1A1,14:34,AGGRAVATED BATTERY,BATTERY,PERSON,13A,AGGRAVATED ASSAULT,,10,,DOWNTOWN EAST,-91.16786,30.44555,POINT (-91.167859 30.445553)
21-074267,42F4BF87-D127-419E-8671-FEEE72E73C1D,07/28/2021 06:31:11 PM,08/14/2021 02:33:02 PM,03/03/2023 12:50:31 PM,ATTEMPTED,125 N 13TH ST,,BATON ROUGE,LA,70802,1,1A,1A1,14:30,FIRST DEGREE MURDER,HOMICIDE,PERSON,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,,10,,DOWNTOWN EAST,-91.17638,30.44811,POINT (-91.176383 30.448108)
21-078481,A9893150-AD36-4D1F-8885-EC7969784F21,08/09/2021 09:26:31 AM,08/09/2021 09:39:26 AM,08/10/2021 02:58:55 PM,COMMITTED,1690 NORTH BLVD,,BATON ROUGE,LA,70802,1,1A,1A1,13:285,IMPROPER TELEPHONE COMMUNICATION/CC,NUISANCE,PERSON,13C,INTIMIDATION,,10,,DOWNTOWN EAST,-91.17189,30.44744,POINT (-91.171894 30.447442)
20-038651,7C6D06B8-816C-405E-9A68-61103077BE78,05/04/2020 11:24:00 AM,03/23/2021 09:38:02 AM,04/13/2021 09:48:56 PM,COMMITTED,,,BATON ROUGE,LA,70807,1,1A,1A1,14:35.3,DOMESTIC ABUSE BATTERY,BATTERY,PERSON,13A,AGGRAVATED ASSAULT,,10,,DOWNTOWN EAST,,,
21-074903,215940E0-6F63-42D9-A437-FCD12DD69756,07/30/2021 02:54:00 PM,07/30/2021 02:54:00 PM,07/31/2021 03:12:34 PM,COMMITTED,2100 CONVENTION ST,,BATON ROUGE,LA,70806,1,1A,1A1,13:35,SIMPLE BATTERY,BATTERY,PERSON,13B,SIMPLE ASSAULT,,10,,DOWNTOWN EAST,-91.16677,30.44888,POINT (-91.166772 30.448881)
21-121882,53402700-EC7C-4EA3-AB73-6319899F3129,11/28/2021 05:54:03 PM,11/28/2021 05:54:00 PM,12/03/2021 04:24:54 PM,COMMITTED,1205 NORTH ST,,BATON ROUGE,LA,70802,1,1A,1A2,13:35,SIMPLE BATTERY,BATTERY,PERSON,13B,SIMPLE ASSAULT,,10,,DOWNTOWN EAST,-91.17712,30.45304,POINT (-91.177121 30.453042)
21-013358,B2AE8FF0-2D5A-4F7D-A4C4-7EDC29F78316,02/11/2021 01:05:22 PM,02/11/2021 02:17:09 PM,01/30/2023 09:15:56 AM,COMMITTED,,,BATON ROUGE,LA,70806,1,1A,1A1,14:40.2,STALKING,OTHER,PERSON,13C,INTIMIDATION,,10,,DOWNTOWN EAST,,,
